FisheryNum	FisheryName	FisheryNameLong	Year	StockGroup	Catch	PropinCatch
1	AlaskaT	'Alaska Troll'	1991	'CR-tule'	1908	0.00823
1	AlaskaT	'Alaska Troll'	1991	'ORCST'	31243	0.13478
1	AlaskaT	'Alaska Troll'	1992	'SEAK'	3647	0.02243
1	AlaskaT	'Alaska Troll'	1992	'NCBC'	28901	0.17773
1	AlaskaT	'Alaska Troll'	1992	'WCVI'	70102	0.43109
1	AlaskaT	'Alaska Troll'	1992	'GS'	4452	0.02738
1	AlaskaT	'Alaska Troll'	1992	'FR-early'	4324	0.02659
1	AlaskaT	'Alaska Troll'	1992	'FR-late'	141	0.00087
1	AlaskaT	'Alaska Troll'	1992	'PSD'	457	0.00281
1	AlaskaT	'Alaska Troll'	1992	'WACST'	8972	0.05517
1	AlaskaT	'Alaska Troll'	1992	'CR-bright'	13933	0.08568
1	AlaskaT	'Alaska Troll'	1992	'CR-sp&su'	5313	0.03267
1	AlaskaT	'Alaska Troll'	1992	'CR-tule'	2189	0.01346
1	AlaskaT	'Alaska Troll'	1992	'ORCST'	20185	0.12413
1	AlaskaT	'Alaska Troll'	1993	'SEAK'	4722	0.02224
1	AlaskaT	'Alaska Troll'	1993	'NCBC'	29262	0.13780
1	AlaskaT	'Alaska Troll'	1993	'WCVI'	83321	0.39238
1	AlaskaT	'Alaska Troll'	1993	'GS'	3284	0.01547
1	AlaskaT	'Alaska Troll'	1993	'FR-early'	8015	0.03775
1	AlaskaT	'Alaska Troll'	1993	'FR-late'	272	0.00128
1	AlaskaT	'Alaska Troll'	1993	'PSD'	534	0.00251
1	AlaskaT	'Alaska Troll'	1993	'WACST'	13404	0.06312
1	AlaskaT	'Alaska Troll'	1993	'CR-bright'	30480	0.14354
1	AlaskaT	'Alaska Troll'	1993	'CR-sp&su'	5894	0.02776
1	AlaskaT	'Alaska Troll'	1993	'CR-tule'	1646	0.00775
1	AlaskaT	'Alaska Troll'	1993	'ORCST'	31514	0.14841
1	AlaskaT	'Alaska Troll'	1994	'SEAK'	4547	0.02567
1	AlaskaT	'Alaska Troll'	1994	'NCBC'	25804	0.14567
1	AlaskaT	'Alaska Troll'	1994	'WCVI'	58331	0.32928
1	AlaskaT	'Alaska Troll'	1994	'GS'	2743	0.01549
1	AlaskaT	'Alaska Troll'	1994	'FR-early'	7199	0.04064
1	AlaskaT	'Alaska Troll'	1994	'FR-late'	255	0.00144
1	AlaskaT	'Alaska Troll'	1994	'PSD'	619	0.00350
1	AlaskaT	'Alaska Troll'	1994	'WACST'	10360	0.05848
1	AlaskaT	'Alaska Troll'	1994	'CR-bright'	32381	0.18280
1	AlaskaT	'Alaska Troll'	1994	'CR-sp&su'	4811	0.02716
1	AlaskaT	'Alaska Troll'	1994	'CR-tule'	927	0.00523
